place,catu,sexe,secu1,year_acc,victim_age,catv,obsm,motor,catr,circ,surf,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,lat,long,hour,nb_victim,nb_vehicules
1,1,1,2.0,2021,37.0,1.0,2.0,1.0,3,2.0,1.0,1.0,50.0,1,8,1,92,92044,2,1,0.0,2.0,48.900182,2.282531,18,2,2
1,1,1,2.0,2021,56.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,26,2,1,17,17415,2,1,0.0,3.0,45.75388,-0.65457,16,2,2
1,1,1,1.0,2021,29.0,1.0,2.0,1.0,3,2.0,1.0,1.0,50.0,22,12,5,92,92023,2,3,0.0,3.0,48.7884652027,2.2498181462,19,2,2
2,2,2,2.0,2021,20.0,1.0,2.0,1.0,1,3.0,1.0,1.0,110.0,14,10,1,91,91689,1,1,0.0,2.0,48.72596,2.3131,17,3,2
1,1,2,1.0,2021,56.0,2.0,2.0,1.0,3,2.0,1.0,1.0,80.0,26,9,1,22,22273,1,1,0.0,3.0,48.539,-2.535857,16,4,2
1,1,1,2.0,2021,20.0,1.0,2.0,1.0,3,2.0,1.0,1.0,50.0,16,6,1,3,3185,2,2,0.0,1.0,46.35363,2.58966,19,3,2
1,1,1,2.0,2021,27.0,1.0,2.0,1.0,3,3.0,1.0,1.0,50.0,24,3,1,92,92024,2,3,0.0,3.0,48.91204,2.31043,8,2,2
10,3,2,8.0,2021,66.0,3.0,1.0,1.0,9,1.0,1.0,6.0,10.0,10,3,1,91,91114,2,1,0.0,6.0,48.69926,2.50594,13,2,1
1,1,2,1.0,2021,28.0,2.0,2.0,1.0,3,1.0,1.0,1.0,50.0,7,7,1,92,92002,2,1,0.0,2.0,48.74351,2.30301,17,2,2
1,1,2,1.0,2021,46.0,2.0,2.0,1.0,2,1.0,1.0,2.0,90.0,20,2,5,95,95313,1,1,0.0,2.0,49.105824513,2.2588680919,19,2,2
4,2,1,8.0,2021,26.0,2.0,0.0,1.0,4,3.0,1.0,1.0,50.0,17,8,5,13,13201,2,1,0.0,5.0,43.302,5.3792,23,5,2
1,1,1,1.0,2021,57.0,2.0,2.0,1.0,3,1.0,1.0,1.0,50.0,7,9,1,6,6029,2,1,0.0,3.0,43.553813,7.025051,14,2,2
1,1,2,1.0,2021,52.0,2.0,2.0,1.0,6,2.0,1.0,8.0,30.0,9,7,1,7,7102,2,1,0.0,3.0,44.93681,4.86716,10,2,2
10,3,2,0.0,2021,73.0,3.0,1.0,1.0,3,1.0,1.0,1.0,50.0,20,7,1,62,62758,2,2,0.0,6.0,50.72619,1.63784,8,2,1
1,1,1,2.0,2021,46.0,1.0,2.0,1.0,3,2.0,1.0,1.0,90.0,30,5,1,48,48092,1,3,0.0,3.0,44.568541,3.291762,14,2,2
1,1,1,8.0,2021,30.0,1.0,2.0,5.0,4,2.0,1.0,5.0,50.0,19,2,1,75,75104,2,3,0.0,7.0,48.858052,2.349646,17,1,1
1,1,2,1.0,2021,35.0,2.0,0.0,1.0,3,2.0,1.0,1.0,80.0,15,4,1,89,89399,1,1,0.0,6.0,48.262627,3.340745,18,2,1
1,1,1,8.0,2021,16.0,1.0,2.0,5.0,3,2.0,1.0,1.0,50.0,30,9,3,91,91103,1,2,0.0,3.0,48.62627,2.297155,20,2,2
10,3,1,0.0,2021,8.0,2.0,1.0,1.0,4,2.0,1.0,1.0,50.0,14,8,1,69,69389,2,1,0.0,6.0,45.78562,4.80086,18,2,1
1,1,2,2.0,2021,41.0,1.0,0.0,3.0,4,1.0,1.0,1.0,30.0,11,9,1,75,75117,2,3,0.0,7.0,48.878035,2.29371,16,1,1
1,1,1,1.0,2021,66.0,2.0,2.0,1.0,3,2.0,1.0,1.0,50.0,24,3,1,93,93051,2,2,0.0,3.0,48.83025,2.58481,9,2,2
1,1,1,2.0,2021,60.0,1.0,2.0,1.0,3,1.0,2.0,1.0,50.0,19,1,1,94,94019,2,9,1.0,3.0,48.79223,2.53258,8,2,2
10,3,2,0.0,2021,19.0,2.0,1.0,2.0,4,2.0,1.0,6.0,50.0,19,4,1,75,75107,2,1,0.0,6.0,48.854814,2.305439,16,2,1
1,1,2,1.0,2021,83.0,2.0,0.0,1.0,3,2.0,1.0,3.0,90.0,13,8,1,41,41145,1,1,0.0,7.0,47.458062,1.295089,11,2,2
1,1,1,1.0,2021,22.0,2.0,2.0,1.0,4,2.0,2.0,1.0,50.0,19,2,3,63,63113,2,2,1.0,3.0,45.81168,3.11537,7,2,2
1,1,1,1.0,2021,21.0,2.0,2.0,1.0,4,2.0,1.0,1.0,50.0,9,8,1,75,75112,2,2,0.0,2.0,48.846906,2.411347,10,2,2
1,1,1,2.0,2021,31.0,1.0,2.0,1.0,1,3.0,1.0,1.0,110.0,12,5,1,59,59560,1,1,0.0,2.0,50.539504,3.051771,19,2,2
1,1,1,8.0,2021,49.0,2.0,0.0,1.0,3,2.0,1.0,3.0,90.0,13,5,3,3,3216,1,1,0.0,7.0,46.20846,2.704557,23,1,1
2,2,1,2.0,2021,16.0,1.0,2.0,1.0,2,3.0,2.0,1.0,50.0,4,12,1,94,94078,2,5,1.0,3.0,48.735582,2.446676,10,4,2
1,1,1,1.0,2021,28.0,5.0,0.0,1.0,1,3.0,1.0,1.0,110.0,24,11,1,57,57303,1,1,0.0,4.0,49.2185,6.17469,10,5,4
1,1,1,2.0,2021,24.0,1.0,2.0,1.0,4,2.0,2.0,1.0,80.0,3,6,1,22,22127,1,4,0.0,1.0,48.791867,-3.115418,8,2,2
1,1,2,8.0,2021,20.0,5.0,2.0,1.0,1,1.0,1.0,1.0,130.0,21,12,1,85,85302,1,1,0.0,3.0,46.960661,-0.928388,14,2,2
10,3,1,0.0,2021,17.0,2.0,1.0,1.0,7,3.0,2.0,1.0,50.0,15,3,1,38,38185,2,1,1.0,6.0,45.18019,5.71524,9,2,1
10,3,1,0.0,2021,73.0,2.0,1.0,1.0,4,1.0,1.0,4.0,30.0,9,2,1,9,9122,2,9,0.0,6.0,42.96419,1.60677,10,2,1
1,1,2,1.0,2021,33.0,2.0,2.0,1.0,1,3.0,2.0,1.0,70.0,25,5,1,93,93053,1,1,0.0,6.0,48.892927268,2.472448587,16,2,2
